fecha,apertura,maximo,minimo,cierre,origen
2020-01-06,80.33,80.34,80.04,80.33,reconstruido
2020-01-13,80.33,81.24,80.04,80.19,reconstruido
2020-01-20,80.19,80.65,79.26,79.99,reconstruido
2020-01-27,79.99,80.72,78.93,79.54,reconstruido
2020-02-03,79.54,80.34,78.61,79.36,reconstruido
2020-02-10,79.36,79.69,78.38,79.07,reconstruido
2020-02-17,79.07,79.54,79.06,79.20,reconstruido
2020-02-24,79.20,79.81,78.83,79.34,reconstruido
2020-03-02,79.34,82.00,79.17,80.88,reconstruido
2020-03-09,80.88,82.70,80.34,81.85,reconstruido
2020-03-16,81.85,83.49,81.34,82.66,reconstruido
2020-03-23,82.66,83.17,82.39,82.78,reconstruido
2020-03-30,82.78,83.24,81.77,82.38,reconstruido
2020-04-06,82.38,82.79,81.97,82.17,reconstruido
2020-04-13,82.17,82.22,80.89,81.61,reconstruido
2020-04-20,81.61,82.26,81.09,81.14,reconstruido
2020-04-27,81.14,82.14,80.82,81.42,reconstruido
2020-05-04,81.42,82.33,81.01,81.26,reconstruido
2020-05-11,81.26,82.01,80.70,81.09,reconstruido
2020-05-18,81.09,81.62,80.21,80.79,reconstruido
2020-05-25,80.79,80.94,80.43,80.70,reconstruido
2020-06-01,80.70,81.48,80.20,80.77,reconstruido
2020-06-08,80.77,81.42,80.16,80.61,reconstruido
2020-06-15,80.61,81.08,79.70,79.82,reconstruido
2020-06-22,79.82,80.37,79.44,80.13,reconstruido
2020-06-29,80.13,80.63,79.02,79.61,reconstruido
2020-07-06,79.61,79.85,78.35,79.23,reconstruido
2020-07-13,79.23,80.23,77.56,78.59,reconstruido
2020-07-20,78.59,79.50,77.60,77.71,reconstruido
2020-07-27,77.71,77.97,77.00,77.39,reconstruido
2020-08-03,77.39,77.40,76.09,76.82,reconstruido
2020-08-10,76.82,76.99,75.70,76.24,reconstruido
2020-08-17,76.24,77.19,75.06,75.72,reconstruido
2020-08-24,75.72,76.43,74.75,75.48,reconstruido
2020-08-31,75.48,75.84,75.21,75.61,reconstruido
2020-09-07,75.61,76.58,74.98,76.51,reconstruido
2020-09-14,76.51,76.89,76.25,76.42,reconstruido
2020-09-21,76.42,77.05,76.16,76.69,reconstruido
2020-09-28,76.69,77.66,75.63,77.19,reconstruido
2020-10-05,77.19,78.59,76.97,78.39,reconstruido
2020-10-12,78.39,79.92,78.16,79.39,reconstruido
2020-10-19,79.39,79.72,79.17,79.52,reconstruido
2020-10-26,79.52,80.84,79.22,79.94,reconstruido
2020-11-02,79.94,81.15,78.99,80.23,reconstruido
2020-11-09,80.23,82.42,79.03,81.39,reconstruido
2020-11-16,81.39,83.34,80.38,82.67,reconstruido
2020-11-23,82.67,83.81,81.80,83.74,reconstruido
2020-11-30,83.74,85.95,82.93,84.46,reconstruido
2020-12-07,84.46,85.05,83.22,84.52,reconstruido
2020-12-14,84.52,84.87,83.51,84.50,reconstruido
2020-12-21,84.50,86.31,83.42,85.25,reconstruido
2020-12-28,84.91,89.76,83.15,86.06,exacto
2021-01-04,86.06,87.95,83.82,86.34,reconstruido
2021-01-11,86.34,90.64,85.07,88.21,reconstruido
2021-01-18,88.21,90.80,87.48,87.82,reconstruido
2021-01-25,87.82,88.50,83.62,84.77,reconstruido
2021-02-01,84.77,84.78,83.14,84.33,reconstruido
2021-02-08,84.33,86.19,82.61,82.92,reconstruido
2021-02-15,82.92,85.09,81.44,82.71,reconstruido
2021-02-22,82.71,83.01,79.26,80.50,reconstruido
2021-03-01,80.50,82.17,79.19,80.33,reconstruido
2021-03-08,80.33,82.07,77.21,79.44,reconstruido
2021-03-15,79.44,79.80,76.50,77.56,reconstruido
2021-03-22,77.56,78.12,75.82,75.94,reconstruido
2021-03-29,75.94,76.00,75.19,75.90,reconstruido
2021-04-05,75.90,76.86,73.88,74.23,reconstruido
2021-04-12,74.23,75.16,70.03,71.40,reconstruido
2021-04-19,71.40,72.87,69.94,70.68,reconstruido
2021-04-26,70.68,71.15,67.53,68.98,reconstruido
2021-05-03,68.98,70.41,64.70,66.23,reconstruido
2021-05-10,66.23,69.09,66.01,67.28,reconstruido
2021-05-17,63.76,72.38,61.32,69.60,exacto
2021-05-24,69.60,71.54,68.96,70.84,reconstruido
2021-05-31,70.84,74.98,68.50,72.13,reconstruido
2021-06-07,72.13,73.02,69.05,71.30,reconstruido
2021-06-14,71.30,73.26,70.12,72.57,reconstruido
2021-06-21,72.57,73.88,70.77,71.83,reconstruido
2021-06-28,71.83,73.37,69.55,71.37,reconstruido
2021-07-05,71.37,73.23,69.29,70.39,reconstruido
2021-07-12,70.39,70.87,69.33,70.82,reconstruido
2021-07-19,70.82,72.38,70.01,70.23,reconstruido
2021-07-26,70.23,70.72,67.31,68.49,reconstruido
2021-08-02,68.49,68.90,66.74,68.15,reconstruido
2021-08-09,68.15,68.28,66.32,67.57,reconstruido
2021-08-16,67.57,68.57,66.28,67.61,reconstruido
2021-08-23,67.61,67.78,65.99,66.88,reconstruido
2021-08-30,66.88,67.47,65.53,66.96,reconstruido
2021-09-06,66.96,67.77,66.22,66.48,reconstruido
2021-09-13,66.48,68.80,65.32,67.17,reconstruido
2021-09-20,67.17,68.04,66.35,67.80,reconstruido
2021-09-27,67.80,68.18,65.79,66.56,reconstruido
2021-10-04,66.56,68.05,65.93,67.73,reconstruido
2021-10-11,67.73,68.73,64.12,66.30,reconstruido
2021-10-18,66.30,67.70,64.50,65.30,reconstruido
2021-10-25,65.30,66.46,64.40,64.50,reconstruido
2021-11-01,64.50,65.57,60.99,63.61,reconstruido
2021-11-08,63.61,65.36,62.57,63.48,reconstruido
2021-11-15,63.48,63.83,60.73,63.05,reconstruido
2021-11-22,63.05,64.60,61.19,62.74,reconstruido
2021-11-29,62.74,65.57,61.33,63.82,reconstruido
2021-12-06,63.82,65.70,63.50,64.47,reconstruido
2021-12-13,64.47,65.61,64.23,64.95,reconstruido
2021-12-20,64.95,65.31,64.94,65.27,reconstruido
2021-12-27,65.27,66.49,64.93,65.93,reconstruido
2022-01-03,65.93,67.52,65.09,66.30,reconstruido
2022-01-10,66.30,67.43,65.46,66.73,reconstruido
2022-01-17,66.73,67.20,66.56,67.05,reconstruido
2022-01-24,67.05,67.14,65.92,67.13,reconstruido
2022-01-31,67.13,68.55,67.06,67.64,reconstruido
2022-02-07,67.64,69.11,66.48,68.26,reconstruido
2022-02-14,68.26,68.26,67.62,67.97,reconstruido
2022-02-21,67.97,68.42,67.68,68.41,reconstruido
2022-02-28,68.41,70.24,68.00,68.84,reconstruido
2022-03-07,68.84,69.38,68.66,68.78,reconstruido
2022-03-14,68.78,69.50,67.39,68.49,reconstruido
2022-03-21,68.49,69.02,67.82,68.61,reconstruido
2022-03-28,68.61,70.12,68.58,69.40,reconstruido
2022-04-04,69.40,69.94,68.48,68.97,reconstruido
2022-04-11,68.97,69.81,67.98,68.73,reconstruido
2022-04-18,68.73,69.92,68.17,69.01,reconstruido
2022-04-25,69.01,70.26,68.08,69.28,reconstruido
2022-05-02,69.28,70.04,68.92,69.53,reconstruido
2022-05-09,69.53,71.32,69.14,70.48,reconstruido
2022-05-16,70.48,71.32,69.66,70.63,reconstruido
2022-05-23,70.63,71.40,69.19,69.90,reconstruido
2022-05-30,69.90,70.17,68.84,68.87,reconstruido
2022-06-06,68.87,69.81,66.85,68.08,reconstruido
2022-06-13,68.08,68.79,66.71,67.54,reconstruido
2022-06-20,67.54,69.03,66.81,68.62,reconstruido
2022-06-27,68.62,70.07,68.46,69.56,reconstruido
2022-07-04,69.56,69.72,69.21,69.62,reconstruido
2022-07-11,69.62,70.17,69.01,69.97,reconstruido
2022-07-18,69.97,70.83,69.91,70.22,reconstruido
2022-07-25,70.22,71.35,69.90,71.29,reconstruido
2022-08-01,71.29,71.77,71.01,71.53,reconstruido
2022-08-08,71.53,73.19,70.85,72.11,reconstruido
2022-08-15,72.04,74.29,71.56,72.87,exacto
2022-08-22,72.87,72.91,72.19,72.52,reconstruido
2022-08-29,72.52,72.87,71.43,72.26,reconstruido
2022-09-05,72.26,73.51,70.38,71.45,reconstruido
2022-09-12,71.45,71.83,70.43,71.72,reconstruido
2022-09-19,71.72,72.20,71.45,72.04,reconstruido
2022-09-26,72.04,73.03,70.83,71.57,reconstruido
2022-10-03,71.57,71.69,71.29,71.67,reconstruido
2022-10-10,71.67,72.79,70.56,71.72,reconstruido
2022-10-17,71.72,72.37,70.39,71.40,reconstruido
2022-10-24,71.40,72.00,71.00,71.95,reconstruido
2022-10-31,71.95,73.10,71.14,72.38,reconstruido
2022-11-07,72.38,72.95,71.49,72.79,reconstruido
2022-11-14,72.79,73.45,71.94,72.35,reconstruido
2022-11-21,72.35,72.64,71.84,72.32,reconstruido
2022-11-28,72.32,74.14,71.40,73.32,reconstruido
