fecha,dominancia_combinada,usdt_d,others_d,factor
2026-08-30,81.2740,7.0040,7.3180,1.0087
2026-08-31,81.3790,7.0581,7.3632,1.0087
2026-09-01,80.6716,6.9239,8.1445,1.0087
2026-09-02,80.6346,7.0392,8.3702,1.0087
2026-09-03,80.6226,7.0110,8.2951,1.0087
2026-09-04,80.5822,6.7411,8.2218,1.0087
2026-09-05,80.4700,6.8509,8.3646,1.0087
2026-09-06,80.6660,6.8238,7.7586,1.0087
2026-09-07,80.6934,6.8442,7.7929,1.0087
2026-09-08,80.6507,6.9022,7.9762,1.0087
2026-09-09,79.8114,6.7986,8.6436,1.0087
2026-09-10,80.0674,6.8824,8.6448,1.0087
2026-09-11,80.2120,6.9845,8.5884,1.0087
2026-09-12,80.1203,6.9483,8.5052,1.0087
2026-09-13,80.8446,7.0103,7.7542,1.0087
2026-09-14,80.8835,6.9877,7.7923,1.0087
2026-09-15,80.1437,6.9331,8.3734,1.0087
2026-09-16,80.3044,7.1025,8.2997,1.0087
2026-09-17,80.1207,7.0298,8.2555,1.0087
2026-09-18,79.6353,6.9086,8.7298,1.0087
2026-09-19,79.7512,6.6397,8.5567,1.0087
2026-09-20,80.5095,6.7471,7.9476,1.0087
2026-09-21,79.5869,6.5813,8.9568,1.0087
2026-09-22,79.7898,6.3373,8.7974,1.0087
2026-09-23,79.4826,6.2031,8.8718,1.0087
2026-09-24,79.6958,6.4260,8.7494,1.0087
