fecha,apertura,maximo,minimo,cierre,origen
2020-01-06,6.67,6.74,6.51,6.67,reconstruido
2020-01-13,6.67,6.81,6.41,6.62,reconstruido
2020-01-20,6.62,6.67,6.30,6.52,reconstruido
2020-01-27,6.52,6.89,6.39,6.68,reconstruido
2020-02-03,6.68,6.70,6.58,6.67,reconstruido
2020-02-10,6.67,6.86,6.28,6.66,reconstruido
2020-02-17,6.66,6.84,6.38,6.44,reconstruido
2020-02-24,6.44,6.60,6.16,6.19,reconstruido
2020-03-02,6.19,6.21,5.53,5.72,reconstruido
2020-03-09,5.72,5.82,5.18,5.19,reconstruido
2020-03-16,5.19,5.24,5.02,5.15,reconstruido
2020-03-23,5.15,5.47,4.97,5.33,reconstruido
2020-03-30,5.33,5.61,5.20,5.55,reconstruido
2020-04-06,5.55,5.78,5.47,5.74,reconstruido
2020-04-13,5.74,6.10,5.56,5.85,reconstruido
2020-04-20,5.85,6.02,5.69,5.84,reconstruido
2020-04-27,5.84,5.86,5.56,5.83,reconstruido
2020-05-04,5.83,6.17,5.50,5.71,reconstruido
2020-05-11,5.71,5.84,5.60,5.63,reconstruido
2020-05-18,5.63,5.78,5.42,5.77,reconstruido
2020-05-25,5.77,6.12,5.64,5.89,reconstruido
2020-06-01,5.89,6.08,5.89,5.90,reconstruido
2020-06-08,5.90,6.22,5.50,5.84,reconstruido
2020-06-15,5.84,6.12,5.79,6.03,reconstruido
2020-06-22,6.03,6.71,5.78,6.30,reconstruido
2020-06-29,6.30,6.70,6.11,6.68,reconstruido
2020-07-06,6.68,6.87,6.47,6.86,reconstruido
2020-07-13,6.86,7.12,6.46,6.86,reconstruido
2020-07-20,6.86,7.46,6.69,7.19,reconstruido
2020-07-27,7.19,7.51,7.14,7.40,reconstruido
2020-08-03,7.40,7.71,7.28,7.68,reconstruido
2020-08-10,7.68,8.16,7.30,7.95,reconstruido
2020-08-17,7.95,8.12,7.72,7.85,reconstruido
2020-08-24,7.85,7.99,7.56,7.78,reconstruido
2020-08-31,7.78,7.94,7.48,7.68,reconstruido
2020-09-07,7.68,7.71,7.45,7.64,reconstruido
2020-09-14,7.64,7.73,7.19,7.51,reconstruido
2020-09-21,7.51,7.81,7.37,7.52,reconstruido
2020-09-28,7.52,7.55,7.13,7.18,reconstruido
2020-10-05,7.18,7.43,6.86,7.04,reconstruido
2020-10-12,7.04,7.33,6.95,7.03,reconstruido
2020-10-19,7.03,7.44,6.54,6.88,reconstruido
2020-10-26,6.88,7.19,6.47,6.74,reconstruido
2020-11-02,6.74,6.87,6.43,6.45,reconstruido
2020-11-09,6.45,6.78,6.09,6.40,reconstruido
2020-11-16,6.40,6.57,6.13,6.34,reconstruido
2020-11-23,6.34,6.61,6.15,6.37,reconstruido
2020-11-30,6.37,6.50,6.06,6.40,reconstruido
2020-12-07,6.40,6.55,6.09,6.25,reconstruido
2020-12-14,6.25,6.57,5.96,5.99,reconstruido
2020-12-21,5.99,6.28,5.70,5.94,reconstruido
2020-12-28,6.29,6.73,5.63,5.96,exacto
2021-01-04,5.96,7.04,4.79,6.19,reconstruido
