fecha,apertura,maximo,minimo,cierre,origen
2020-01-06,3.113,3.243,3.062,3.113,reconstruido
2020-01-13,3.113,3.158,3.031,3.118,reconstruido
2020-01-20,3.118,3.149,2.998,3.091,reconstruido
2020-01-27,3.091,3.147,2.869,3.005,reconstruido
2020-02-03,3.005,3.193,2.684,2.900,reconstruido
2020-02-10,2.900,2.938,2.688,2.875,reconstruido
2020-02-17,2.875,3.109,2.831,3.022,reconstruido
2020-02-24,3.022,3.554,2.978,3.355,reconstruido
2020-03-02,3.355,3.695,3.259,3.694,reconstruido
2020-03-09,3.694,4.115,3.631,3.984,reconstruido
2020-03-16,3.984,4.157,3.964,4.108,reconstruido
2020-03-23,4.108,4.242,4.061,4.183,reconstruido
2020-03-30,4.183,4.424,4.165,4.280,reconstruido
2020-04-06,4.280,4.602,4.229,4.408,reconstruido
2020-04-13,4.408,4.484,4.270,4.341,reconstruido
2020-04-20,4.341,4.554,4.275,4.454,reconstruido
2020-04-27,4.454,4.614,4.271,4.455,reconstruido
2020-05-04,4.455,4.590,4.346,4.522,reconstruido
2020-05-11,4.522,4.627,4.499,4.587,reconstruido
2020-05-18,4.587,4.653,4.551,4.607,reconstruido
2020-05-25,4.607,4.715,4.406,4.703,reconstruido
2020-06-01,4.703,4.794,4.614,4.766,reconstruido
2020-06-08,4.766,5.052,4.605,4.875,reconstruido
2020-06-15,4.875,5.036,4.747,4.914,reconstruido
2020-06-22,4.914,4.986,4.777,4.873,reconstruido
2020-06-29,4.873,5.046,4.569,4.755,reconstruido
2020-07-06,4.755,4.901,4.673,4.705,reconstruido
2020-07-13,4.705,4.810,4.629,4.676,reconstruido
2020-07-20,4.676,4.740,4.572,4.603,reconstruido
2020-07-27,4.603,4.710,4.238,4.331,reconstruido
2020-08-03,4.331,4.348,4.091,4.162,reconstruido
2020-08-10,4.162,4.251,3.969,3.972,reconstruido
2020-08-17,3.972,4.098,3.849,3.990,reconstruido
2020-08-24,3.990,4.148,3.953,4.114,reconstruido
2020-08-31,4.114,4.184,3.953,4.082,reconstruido
2020-09-07,4.082,4.349,3.976,4.201,reconstruido
2020-09-14,4.201,4.232,4.046,4.168,reconstruido
2020-09-21,4.168,4.215,4.105,4.109,reconstruido
2020-09-28,4.109,4.144,3.931,3.959,reconstruido
2020-10-05,3.959,3.977,3.807,3.956,reconstruido
2020-10-12,3.956,4.043,3.860,3.888,reconstruido
2020-10-19,3.888,3.904,3.726,3.856,reconstruido
2020-10-26,3.856,3.950,3.705,3.713,reconstruido
2020-11-02,3.713,3.733,3.508,3.572,reconstruido
2020-11-09,3.572,3.600,3.379,3.467,reconstruido
2020-11-16,3.467,3.548,3.252,3.313,reconstruido
2020-11-23,3.313,3.443,3.101,3.157,reconstruido
2020-11-30,3.157,3.248,2.952,3.097,reconstruido
2020-12-07,3.097,3.163,2.897,2.957,reconstruido
2020-12-14,2.957,3.035,2.882,2.883,reconstruido
2020-12-21,2.883,3.009,2.810,2.844,reconstruido
2020-12-28,2.844,3.025,2.483,2.671,reconstruido
2021-01-04,2.671,2.814,2.424,2.623,reconstruido
2021-01-11,2.623,2.680,2.335,2.511,reconstruido
2021-01-18,2.511,2.685,2.325,2.493,reconstruido
2021-01-25,2.493,2.628,2.396,2.448,reconstruido
2021-02-01,2.448,2.540,2.074,2.344,reconstruido
2021-02-08,2.344,2.351,2.268,2.317,reconstruido
2021-02-15,2.317,2.456,2.296,2.390,reconstruido
2021-02-22,2.390,2.524,2.336,2.345,reconstruido
2021-03-01,2.345,2.362,2.168,2.259,reconstruido
2021-03-08,2.259,2.275,2.027,2.235,reconstruido
2021-03-15,2.235,2.391,2.196,2.284,reconstruido
2021-03-22,2.284,2.373,2.224,2.341,reconstruido
2021-03-29,2.341,2.463,2.240,2.344,reconstruido
2021-04-05,2.344,2.478,2.234,2.463,reconstruido
2021-04-12,2.463,2.533,2.396,2.419,reconstruido
2021-04-19,2.419,2.876,2.402,2.756,reconstruido
2021-04-26,2.756,3.413,2.594,3.404,reconstruido
2021-05-03,3.404,4.232,3.305,4.073,reconstruido
2021-05-10,4.073,4.561,3.981,4.536,reconstruido
2021-05-17,4.536,4.770,4.291,4.757,reconstruido
2021-05-24,4.757,4.885,4.711,4.736,reconstruido
2021-05-31,4.736,5.034,4.689,4.842,reconstruido
2021-06-07,4.842,4.938,4.796,4.862,reconstruido
2021-06-14,4.862,5.115,4.751,5.019,reconstruido
2021-06-21,5.019,5.302,4.887,5.007,reconstruido
2021-06-28,5.007,5.030,4.968,5.002,reconstruido
2021-07-05,5.002,5.170,4.833,5.054,reconstruido
2021-07-12,5.054,5.059,4.815,4.962,reconstruido
2021-07-19,4.962,5.034,4.818,5.014,reconstruido
2021-07-26,5.014,5.046,4.806,4.890,reconstruido
2021-08-02,4.890,4.986,4.517,4.619,reconstruido
2021-08-09,4.619,4.808,4.335,4.437,reconstruido
2021-08-16,4.437,4.602,4.140,4.274,reconstruido
2021-08-23,4.274,4.375,4.116,4.248,reconstruido
2021-08-30,4.248,4.265,4.083,4.182,reconstruido
2021-09-06,4.182,4.350,3.885,4.046,reconstruido
